,name,url,visible_ini,visible_end
469,Musica,https://www.glyphweb.com/esky/stars/musica.html,"Arion(Musica b,18 Delphini b),gas giant","Arion(Musica b,18 Delphini b),gas giant"
470,Mintaka,https://www.glyphweb.com/esky/stars/mintaka.html,December,January
471,Myla,https://www.glyphweb.com/esky/stars/alphamuscae.html,April,April
472,Nembus,https://www.glyphweb.com/esky/stars/nembus.html,October,November
473,Noquisi,https://www.glyphweb.com/esky/stars/noquisi.html,M3Vreddwarf,M3Vreddwarf
474,Naos,https://www.glyphweb.com/esky/stars/naos.html,February,February
475,Suhail Hadar,https://www.glyphweb.com/esky/stars/naos.html,February,February
476,Nenque,https://www.glyphweb.com/esky/stars/nenque.html,G2/3Vyellowdwarf,G2/3Vyellowdwarf
477,Nihal,https://www.glyphweb.com/esky/stars/nihal.html,December,January
478,Nunki,https://www.glyphweb.com/esky/stars/nunki.html,July,July
479,Nashira,https://www.glyphweb.com/esky/stars/nashira.html,August,September
480,Nikawiy,https://www.glyphweb.com/esky/stars/nikawiy.html,G5IVyellowsubgiant*,G5IVyellowsubgiant*
481,Nusakan,https://www.glyphweb.com/esky/stars/nusakan.html,May,June
482,Nushagak,https://www.glyphweb.com/esky/stars/nushagak.html,,
483,Nyamien,https://www.glyphweb.com/esky/stars/nyamien.html,F7Vbright yellowdwarf,F7Vbright yellowdwarf
484,Nehushtan,https://www.glyphweb.com/esky/stars/nehushtan.html,June,July
485,Orkaria,https://www.glyphweb.com/esky/stars/orkaria.html,M4.5Vreddwarf,M4.5Vreddwarf
486,Okul,https://www.glyphweb.com/esky/stars/picapricorni.html,,
487,Pherkad Minor,https://www.glyphweb.com/esky/stars/pherkadminor.html,"Pherkad Minor b,gas giant","Pherkad Minor b,gas giant"
488,Pherkard,https://www.glyphweb.com/esky/stars/pherkadminor.html,"Pherkad Minor b,gas giant","Pherkad Minor b,gas giant"
489,Pollux,https://www.glyphweb.com/esky/stars/pollux.html,"Thestias(Pollux b),gas giant","Thestias(Pollux b),gas giant"
490,Peacock,https://www.glyphweb.com/esky/stars/peacock.html,August,August
491,Yildun,https://www.glyphweb.com/esky/stars/yildun.html,June,July
492,Porrima,https://www.glyphweb.com/esky/stars/porrima.html,April,April
493,Phoenicia,https://www.glyphweb.com/esky/stars/phoenicia.html,K1/2Vorangedwarf,K1/2Vorangedwarf
494,Propus,https://www.glyphweb.com/esky/stars/tejatprior.html,January,January
495,Tejat Prior,https://www.glyphweb.com/esky/stars/tejatprior.html,January,January
496,Praepes,https://www.glyphweb.com/esky/stars/tejatprior.html,January,January
497,The Persian,https://www.glyphweb.com/esky/stars/alphaindi.html,August,August
498,Prima Hyadum,https://www.glyphweb.com/esky/stars/hyadumi.html,,
499,Phact,https://www.glyphweb.com/esky/stars/phakt.html,December,January
500,Phakt,https://www.glyphweb.com/esky/stars/phakt.html,December,January
501,Phaet,https://www.glyphweb.com/esky/stars/phakt.html,December,January
502,Phyllon Kissinou,https://www.glyphweb.com/esky/stars/phyllonkissinou.html,April,April
503,Pipirima,https://www.glyphweb.com/esky/stars/pipirima.html,"Pipirima b,gas giant","Pipirima b,gas giant"
504,Sometimes catalogued asPropus,https://www.glyphweb.com/esky/stars/propus.html,January,February
505,but see footnote below,https://www.glyphweb.com/esky/stars/propus.html,January,February
506,Phecda,https://www.glyphweb.com/esky/stars/phekda.html,April,April
507,Phekda,https://www.glyphweb.com/esky/stars/phekda.html,April,April
508,Phad,https://www.glyphweb.com/esky/stars/phekda.html,April,April
509,Proxima,https://www.glyphweb.com/esky/stars/proxima.html,Apparent:+11.01Absolute:+15.44,Apparent:+11.01Absolute:+15.44
510,ProximaCentauri,https://www.glyphweb.com/esky/stars/proxima.html,Apparent:+11.01Absolute:+15.44,Apparent:+11.01Absolute:+15.44
511,Pleione,https://www.glyphweb.com/esky/stars/pleione.html,B8Vpebluemain sequence star,B8Vpebluemain sequence star
512,Sometimes referred to asProxima Librae*,https://www.glyphweb.com/esky/stars/kx_librae.html,Apparent:+5.8Absolute:+6.9,Apparent:+5.8Absolute:+6.9
513,Pherkad,https://www.glyphweb.com/esky/stars/pherkad.html,May,June
514,Ran,https://www.glyphweb.com/esky/stars/epsiloneridani.html,"Ægir(Ran b,Epsilon Eridani b),gas giantorbrown dwarfRan c, theoretical unconfirmedexoplanet","Ægir(Ran b,Epsilon Eridani b),gas giantorbrown dwarfRan c, theoretical unconfirmedexoplanet"
515,Rasalgethi,https://www.glyphweb.com/esky/stars/rasalgethi.html,June,July
516,Ras Algethi,https://www.glyphweb.com/esky/stars/rasalgethi.html,June,July
517,Rigel,https://www.glyphweb.com/esky/stars/rigel.html,December,January
518,Rana,https://www.glyphweb.com/esky/stars/rana.html,November,December
519,Rasalhague,https://www.glyphweb.com/esky/stars/rasalhague.html,June,July
520,Ras Alhague,https://www.glyphweb.com/esky/stars/rasalhague.html,June,July
521,RigilKentaurus,https://www.glyphweb.com/esky/stars/alphacentauri.html,Candidate 1,Candidate 1
522,RigelKentaurus(A),https://www.glyphweb.com/esky/stars/alphacentauri.html,Candidate 1,Candidate 1
523,Toliman,https://www.glyphweb.com/esky/stars/alphacentauri.html,Candidate 1,Candidate 1
